trading_symbol,instrument_key,instrument_type,name,exchange
SIGNPOST,BSE_EQ|INE0KGZ01021,B,Signpost India Limited,BSE
EIEL,NSE_EQ|INE0LLY01014,EQ,ENVIRO INFRA ENGINEERS L,NSE
MARUTI,NSE_EQ|INE585B01010,EQ,MARUTI SUZUKI INDIA LTD.,NSE
VPRPL,BSE_EQ|INE0AE001013,B,VISHNU PRAKASH R PUNGLIA LIMIT,BSE
MEDANTA,BSE_EQ|INE474Q01031,A,Global Health Limited,BSE
BYKE,NSE_EQ|INE319B01014,EQ,THE BYKE HOSPITALITY LTD,NSE
SABTNL,BSE_EQ|INE416A01044,B,SRI ADHIKARI BROTHERS TELEVISI,BSE
NATIONALUM,NSE_EQ|INE139A01034,EQ,NATIONAL ALUMINIUM CO LTD,NSE
MBLINFRA,NSE_EQ|INE912H01013,EQ,MBL INFRASTRUCTURE LTD,NSE
TARIL,NSE_EQ|INE763I01026,EQ,TRANS & RECTI. LTD,NSE
NDL,NSE_EQ|INE875G01048,EQ,NANDAN DENIM LIMITED,NSE
CYBERMEDIA,BSE_EQ|INE278G01037,T,CYBER MEDIA (INDIA) LTD.,BSE
MAHLOG,BSE_EQ|INE766P01016,B,Mahindra Logistics Limited,BSE
CHALET,BSE_EQ|INE427F01016,A,Chalet Hotels Limited,BSE
RADIOCITY,NSE_EQ|INE919I01024,EQ,MUSIC BROADCAST LIMITED,NSE
PSB,BSE_EQ|INE608A01012,B,PUNJAB & SIND BANK,BSE
GOKULAGRO,NSE_EQ|INE314T01033,EQ,GOKUL AGRO RESOURCES LTD,NSE
TCIFINANCE,BSE_EQ|INE911B01018,B,TCI FINANCE LTD.,BSE
FIEMIND,BSE_EQ|INE737H01014,B,FIEM INDUSTRIES LTD.,BSE
NAVKARURB,NSE_EQ|INE268H01044,EQ,NAVKAR URBANSTRUCTURE LTD,NSE
NINSYS,NSE_EQ|INE395U01014,EQ,NINTEC SYSTEMS LIMITED,NSE
LEMONTREE,NSE_EQ|INE970X01018,EQ,LEMON TREE HOTELS LTD,NSE
GREAVESCOT,BSE_EQ|INE224A01026,A,GREAVES COTTON LTD.,BSE
VLEGOV,NSE_EQ|INE03HW01020,EQ,VL E GOV AND IT SOL LTD,NSE
MAANALU,BSE_EQ|INE215I01027,B,MAAN ALUMINIUM LTD.,BSE
DCBBANK,BSE_EQ|INE503A01015,A,DCB BANK LIMITED,BSE
SANOFICONR,BSE_EQ|INE0UOS01011,A,Sanofi Consumer Healthcare Ind,BSE
DCAL,BSE_EQ|INE385W01011,B,Dishman Carbogen Amcis Limited,BSE
AMRUTANJAN,BSE_EQ|INE098F01031,B,AMRUTANJAN HEALTH CARE LTD.,BSE
SANATHAN,BSE_EQ|INE0JPD01013,B,Sanathan Textiles Limited,BSE
SEAMECLTD,BSE_EQ|INE497B01018,B,SEAMEC LTD.,BSE
TEJASNET,BSE_EQ|INE010J01012,A,Tejas Networks Limited,BSE
SGFIN,NSE_EQ|INE618R01015,EQ,SG FINSERVE LIMITED,NSE
MANAPPURAM,NSE_EQ|INE522D01027,EQ,MANAPPURAM FINANCE LTD,NSE
JOCIL,NSE_EQ|INE839G01010,EQ,JOCIL LIMITED,NSE
SMLT,NSE_EQ|INE017W01010,EQ,SARTHAK METALS LIMITED,NSE
VINYLINDIA,NSE_EQ|INE250B01029,EQ,VINYL CHEMICALS (I) LTD.,NSE
JYOTIRES,BSE_EQ|INE577D01013,B,JYOTI RESINS & ADHESIVES LTD.,BSE
IOLCP,NSE_EQ|INE485C01029,EQ,IOL CHEM AND PHARMA LTD,NSE
AVADHSUGAR,BSE_EQ|INE349W01017,B,AVADH SUGAR & ENERGY LIMITED,BSE
UNITDSPR,BSE_EQ|INE854D01024,A,UNITED SPIRITS LTD.,BSE
CENTRUM,NSE_EQ|INE660C01027,EQ,CENTRUM CAPITAL LIMITED,NSE
VIPCLOTHNG,BSE_EQ|INE450G01024,B,VIP Clothing Limited,BSE
SAREGAMA,BSE_EQ|INE979A01025,A,SAREGAMA INDIA LTD.,BSE
CRIZAC,BSE_EQ|INE0S4R01014,B,CRIZAC LIMITED,BSE
EMMBI,BSE_EQ|INE753K01015,B,EMMBI INDUSTRIES LTD,BSE
LUMAXIND,BSE_EQ|INE162B01018,B,LUMAX INDUSTRIES LTD.,BSE
ASPINWALL,NSE_EQ|INE991I01015,EQ,ASPINWALL & CO LTD,NSE
SHAREINDIA,NSE_EQ|INE932X01026,EQ,SHARE IND. SECURITIES LTD,NSE
VERTOZ,NSE_EQ|INE188Y01031,EQ,VERTOZ LIMITED,NSE
AVL,BSE_EQ|INE679V01027,A,Aditya Vision Limited,BSE
BOMDYEING,NSE_EQ|INE032A01023,EQ,BOMBAY DYEING & MFG. CO L,NSE
SUVEN,BSE_EQ|INE495B01038,B,SUVEN LIFE SCIENCES LTD.,BSE
SGL,NSE_EQ|INE353H01010,EQ,STL GLOBAL LIMITED,NSE
INGERRAND,NSE_EQ|INE177A01018,EQ,INGERSOLL-RAND INDIA LTD,NSE
PVSL,NSE_EQ|INE772T01024,EQ,POPULAR VEHICLES N SER L,NSE
JISLJALEQS,NSE_EQ|INE175A01038,EQ,JAIN IRRIGATION SYSTEMS,NSE
BOMDYEING,BSE_EQ|INE032A01023,A,BOMBAY DYEING & MFG.CO.LTD.,BSE
CPEDU,NSE_EQ|INE0P6P01016,EQ,CAREER POINT EDUTECH LTD,NSE
ZAGGLE,BSE_EQ|INE07K301024,A,ZAGGLE PREPAID OCEAN SERVICES ,BSE
LALPATHLAB,BSE_EQ|INE600L01024,A,Dr. Lal Pathlabs Limited,BSE
CEINSYSTECH,BSE_EQ|INE016Q01014,B,CEINSYS TECH LIMITED,BSE
SOLARWORLD,BSE_EQ|INE0TY101024,B,Solarworld Energy Solutions Li,BSE
IOLCP,BSE_EQ|INE485C01029,B,IOL CHEMICALS & PHARMACEUTICAL,BSE
BANSWRAS,NSE_EQ|INE629D01020,EQ,BANSWARA SYNTEX LIMITED,NSE
ADVENTHTL,BSE_EQ|INE28GN01010,T,Advent Hotels International Li,BSE
CAPLIPOINT,BSE_EQ|INE475E01026,A,CAPLIN POINT LABORATORIES LTD.,BSE
SICALLOG,BSE_EQ|INE075B01020,T,SICAL LOGISTICS LTD.,BSE
HINDCON,NSE_EQ|INE642Y01029,EQ,HINDCON CHEMICALS LIMITED,NSE
PIGL,BSE_EQ|INE557Z01018,T,Power & Instrumentation (Gujar,BSE
FIEMIND,NSE_EQ|INE737H01014,EQ,FIEM INDUSTRIES LIMITED,NSE
BSOFT,BSE_EQ|INE836A01035,A,BIRLASOFT LIMITED,BSE
SFL,NSE_EQ|INE916U01025,EQ,SHEELA FOAM LIMITED,NSE
PLATIND,NSE_EQ|INE0PT501018,EQ,PLATINUM INDUSTRIES LTD,NSE
MAHLOG,NSE_EQ|INE766P01016,EQ,MAHINDRA LOGISTIC LIMITED,NSE
BCPL,BSE_EQ|INE00SW01015,B,BCPL Railway Infrastructure Li,BSE
NDL,BSE_EQ|INE875G01048,B,NANDAN DENIM LIMITED,BSE
AMBIKCO,NSE_EQ|INE540G01014,EQ,AMBIKA COTTON MILL LTD.,NSE
MUNJALAU,NSE_EQ|INE672B01032,EQ,MUNJAL AUTO IND. LTD.,NSE
DHANBANK,BSE_EQ|INE680A01011,B,DHANLAXMI BANK LIMITED,BSE
RAJNISH,BSE_EQ|INE685Z01033,B,Rajnish Wellness Limited,BSE
GRINFRA,NSE_EQ|INE201P01022,EQ,G R INFRAPROJECTS LIMITED,NSE
ENRIN,NSE_EQ|INE1NPP01017,EQ,SIEMENS ENERGY INDIA LTD,NSE
TATVA,NSE_EQ|INE0GK401011,EQ,TATVA CHIN PHARM CHEM LTD,NSE
CHALET,NSE_EQ|INE427F01016,EQ,CHALET HOTELS LIMITED,NSE
ANDREWYU,BSE_EQ|INE449C01025,B,ANDREW YULE & COMPANY LTD.,BSE
MOLDTKPAC,BSE_EQ|INE893J01029,B,MOLD-TEK PACKAGING LIMITED,BSE
GLOSTERLTD,BSE_EQ|INE350Z01018,B,Gloster Ltd,BSE
INDOWIND,NSE_EQ|INE227G01018,EQ,INDOWIND ENERGY LTD,NSE
COFFEEDAY,BSE_EQ|INE335K01011,T,Coffee Day Enterprises Limited,BSE
DALBHARAT,NSE_EQ|INE00R701025,EQ,DALMIA BHARAT LIMITED,NSE
KHANDSE,NSE_EQ|INE060B01014,EQ,KHANDWALA SECURITIES LTD,NSE
SIGNPOST,NSE_EQ|INE0KGZ01021,EQ,SIGNPOST INDIA LIMITED,NSE
KALAMANDIR,NSE_EQ|INE438K01021,EQ,SAI SILKS (KALAMANDIR) L,NSE
LMW,BSE_EQ|INE269B01029,A,LMW Limited,BSE
NINSYS,BSE_EQ|INE395U01014,B,NINtec Systems Limited,BSE
KAMOPAINTS,NSE_EQ|INE0BTI01037,EQ,KAMDHENU VENTURES LIMITED,NSE
CHAMBLFERT,BSE_EQ|INE085A01013,A,CHAMBAL FERTILISERS & CHEMICAL,BSE
AEROENTER,BSE_EQ|INE065D01027,B,AEROFLEX ENTERPRISES LIMITED,BSE
IVALUE,NSE_EQ|INE056801025,EQ,IVALUE INFOSOLUTIONS LTD,NSE
JSL,BSE_EQ|INE220G01021,A,JINDAL STAINLESS LTD.,BSE
RSSOFTWARE,NSE_EQ|INE165B01029,EQ,R. S. SOFTWARE (INDIA) LI,NSE
ARVIND,BSE_EQ|INE034A01011,A,ARVIND LTD.,BSE
BAJAJ-AUTO,NSE_EQ|INE917I01010,EQ,BAJAJ AUTO LIMITED,NSE
MAZDA,NSE_EQ|INE885E01042,EQ,MAZDA LIMITED,NSE
CIGNITITEC,NSE_EQ|INE675C01017,EQ,CIGNITI TECHNOLOGIES LTD,NSE
DHRUV,BSE_EQ|INE506Z01015,B,Dhruv Consultancy Services Lim,BSE
RGL,NSE_EQ|INE722H01024,EQ,RENAISSANCE GLOBAL LTD,NSE
KILITCH,BSE_EQ|INE729D01010,B,KILITCH DRUGS (INDIA) LTD.,BSE
DEEPAKFERT,BSE_EQ|INE501A01019,A,DEEPAK FERTILISERS & PETROCHEM,BSE
AKG,NSE_EQ|INE00Y801016,EQ,AKG EXIM LIMITED,NSE
KIRLOSENG,NSE_EQ|INE146L01010,EQ,KIRLOSKAR OIL ENG LTD,NSE
VOLTAS,BSE_EQ|INE226A01021,A,VOLTAS LTD.,BSE
RAMRAT,BSE_EQ|INE207E01023,B,RAM RATNA WIRES LTD.,BSE
SHREECEM,BSE_EQ|INE070A01015,A,SHREE CEMENT LTD.,BSE
AMBIKCO,BSE_EQ|INE540G01014,B,AMBIKA COTTON MILLS LTD.,BSE
HIMATSEIDE,BSE_EQ|INE049A01027,B,HIMATSINGKA SEIDE LTD.,BSE
CHEMCRUX,BSE_EQ|INE298W01016,B,Chemcrux Enterprises Limited,BSE
VIVIDM,BSE_EQ|INE647Z01025,B,VIVID MERCANTILE LIMITED,BSE
PRICOLLTD,BSE_EQ|INE726V01018,A,Pricol Limited,BSE
SANSERA,BSE_EQ|INE953O01021,A,Sansera Engineering Limited,BSE
POWERGRID,BSE_EQ|INE752E01010,A,POWER GRID CORPORATION OF INDI,BSE
XTGLOBAL,NSE_EQ|INE547B01028,EQ,XTGLOBAL INFOTECH LIMITED,NSE
SITINET,BSE_EQ|INE965H01011,Z,Siti Networks Ltd.,BSE
EMMBI,NSE_EQ|INE753K01015,EQ,EMMBI INDUSTRIES LIMITED,NSE
TEXMOPIPES,NSE_EQ|INE141K01013,EQ,TEXMO PIPE & PRODUCTS LTD,NSE
AGARWALEYE,BSE_EQ|INE943P01029,B,Dr. Agarwal's Health Care Limi,BSE
ADANIPORTS,BSE_EQ|INE742F01042,A,ADANI PORTS AND SPECIAL ECONOM,BSE
ACME,BSE_EQ|INE636B01011,Z,Acme Resources Limited,BSE
AGARWALEYE,NSE_EQ|INE943P01029,EQ,DR AGARWALS HEALTH CARE L,NSE
HINDZINC,NSE_EQ|INE267A01025,EQ,HINDUSTAN ZINC LIMITED,NSE
360ONE,NSE_EQ|INE466L01038,EQ,360 ONE WAM LIMITED,NSE
ARCHIES,BSE_EQ|INE731A01020,B,ARCHIES LTD.,BSE
TIIL,NSE_EQ|INE545H01011,EQ,TECHNOCRAFT IND LTD,NSE
DODLA,BSE_EQ|INE021O01019,A,Dodla Dairy Limited,BSE
RELCHEMQ,NSE_EQ|INE750D01016,EQ,RELIANCE CHEMOTEX IND LTD,NSE
AGIIL,NSE_EQ|INE976R01033,EQ,AGI INFRA LIMITED,NSE
TIIL,BSE_EQ|INE545H01011,B,TECHNOCRAFT INDUSTRIES (INDIA),BSE
AAVAS,BSE_EQ|INE216P01012,A,AAVAS Financiers Limited,BSE
VMM,BSE_EQ|INE01EA01019,B,Vishal Mega Mart Limited,BSE
CINEVISTA,BSE_EQ|INE039B01026,B,CINEVISTA LTD.,BSE
SARVESHWAR,NSE_EQ|INE324X01026,EQ,SARVESHWAR FOODS LIMITED,NSE
SHREECEM,NSE_EQ|INE070A01015,EQ,SHREE CEMENT LIMITED,NSE
FABTECH,BSE_EQ|INE0HF201011,B,Fabtech Technologies Limited,BSE
TMCV,BSE_EQ|INE1TAE01010,T,Tata Motors Limited,BSE
ANANTRAJ,NSE_EQ|INE242C01024,EQ,ANANT RAJ LIMITED,NSE
LIBAS,NSE_EQ|INE908V01012,EQ,LIBAS CONSU PRODUCTS LTD,NSE
SHANTIGEAR,BSE_EQ|INE631A01022,B,SHANTHI GEARS LTD.,BSE
IMAGICAA,BSE_EQ|INE172N01012,B,IMAGICAAWORLD ENTERTAINMENT LI,BSE
TATVA,BSE_EQ|INE0GK401011,B,Tatva Chintan Pharma Chem Limi,BSE
JAYAGROGN,NSE_EQ|INE785A01026,EQ,JAYANT AGRO ORGANICS LTD,NSE
LLOYDSENGG,NSE_EQ|INE093R01011,EQ,LLOYDS ENGG WORK LIMITED,NSE
WONDERLA,NSE_EQ|INE066O01014,EQ,WONDERLA HOLIDAYS LTD.,NSE
DOLATALGO,BSE_EQ|INE966A01022,B,DOLAT ALGOTECH LIMITED,BSE
SHIVAMILLS,BSE_EQ|INE644Y01017,B,Shiva Mills Limited,BSE
SUTLEJTEX,BSE_EQ|INE645H01027,B,SUTLEJ TEXTILES & INDUSTRIES L,BSE
ASTEC,NSE_EQ|INE563J01010,EQ,ASTEC LIFESCIENCES LTD,NSE
GULPOLY,BSE_EQ|INE255D01024,B,GULSHAN POLYOLS LTD.,BSE
KOTHARIPRO,BSE_EQ|INE823A01017,B,KOTHARI PRODUCTS LTD.,BSE
HILTON,BSE_EQ|INE788H01017,B,HILTON METAL FORGING LTD.,BSE
DJML,NSE_EQ|INE0B1K01014,EQ,DJ MEDIAPRINT & LOG LTD,NSE
KAMOPAINTS,BSE_EQ|INE0BTI01037,B,Kamdhenu Ventures Limited,BSE
JETFREIGHT,NSE_EQ|INE982V01025,EQ,JET FREIGHT LOGISTICS LTD,NSE
BIRLAMONEY,NSE_EQ|INE865C01022,EQ,ADITYA BIRLA MONEY LTD,NSE
AADHARHFC,NSE_EQ|INE883F01010,EQ,AADHAR HOUSING FINANCE L,NSE
ASIANENE,NSE_EQ|INE276G01015,EQ,ASIAN ENERGY SERVICES LTD,NSE
KRITINUT,NSE_EQ|INE798K01010,EQ,KRITI NUTRIENTS LIMITED,NSE
JINDALSTEL,NSE_EQ|INE749A01030,EQ,JINDAL STEEL LIMITED,NSE
ORIRAIL,BSE_EQ|INE457G01029,B,ORIENTAL RAIL INFRASTRUCTURE L,BSE
BDL,NSE_EQ|INE171Z01026,EQ,BHARAT DYNAMICS LIMITED,NSE
RUSTOMJEE,BSE_EQ|INE263M01029,B,Keystone Realtors Limited,BSE
HAPPSTMNDS,BSE_EQ|INE419U01012,A,Happiest Minds Technologies Li,BSE
GODREJAGRO,BSE_EQ|INE850D01014,A,Godrej Agrovet Limited,BSE
WCIL,BSE_EQ|INE0CJF01024,B,Western Carriers (India) Limit,BSE
KITEX,BSE_EQ|INE602G01020,B,KITEX GARMENTS LTD.,BSE
GRANDOAK,BSE_EQ|INE926B01016,T,GRAND OAK CANYONS DISTILLERY L,BSE
ONESOURCE,BSE_EQ|INE013P01021,B,Onesource Specialty Pharma Lim,BSE
COFORGE,NSE_EQ|INE591G01025,EQ,COFORGE LIMITED,NSE
BIRLANU,NSE_EQ|INE557A01011,EQ,BIRLANU LIMITED,NSE
CEWATER,BSE_EQ|INE037Z01029,B,Concord Enviro Systems Limited,BSE
ARVSMART,NSE_EQ|INE034S01021,EQ,ARVIND SMARTSPACES LTD,NSE
PLAZACABLE,NSE_EQ|INE0INJ01017,EQ,PLAZA WIRES LIMITED,NSE
AKSHARCHEM,BSE_EQ|INE542B01011,B,AKSHARCHEM (INDIA) LTD.,BSE
NESTLEIND,BSE_EQ|INE239A01024,A,NESTLE INDIA LTD.,BSE
SHIVAMAUTO,NSE_EQ|INE637H01024,EQ,SHIVAM AUTO.LTD,NSE
KDDL,BSE_EQ|INE291D01011,B,KDDL LTD.,BSE
NEOGEN,BSE_EQ|INE136S01016,A,Neogen Chemicals Limited,BSE
BANARISUG,NSE_EQ|INE459A01010,EQ,BANNARI AMMAN SUGARS LTD,NSE
ADVANCE,BSE_EQ|INE1B0W01010,B,Advance Agrolife Limited,BSE
JINDWORLD,NSE_EQ|INE247D01039,EQ,JINDAL WORLDWIDE LTD,NSE
DECCANCE,BSE_EQ|INE583C01021,B,DECCAN CEMENTS LTD.,BSE
HESTERBIO,NSE_EQ|INE782E01017,EQ,HESTER BIOSCIENCES LTD,NSE
GMRP&UI,NSE_EQ|INE0CU601026,EQ,GMR POW AND URBAN INFRA L,NSE
USK,NSE_EQ|INE0N0Y01013,EQ,UDAYSHIVAKUMAR INFRA LTD,NSE
COASTCORP,BSE_EQ|INE377E01024,B,COASTAL CORPORATION LTD.,BSE
SIGNATURE,NSE_EQ|INE903U01023,EQ,SIGNATUREGLOBAL INDIA LTD,NSE
GHCLTEXTIL,NSE_EQ|INE0PA801013,EQ,GHCL TEXTILES LIMITED,NSE
CCL,BSE_EQ|INE421D01022,A,CCL PRODUCTS (INDIA) LTD.,BSE
DISHTV,BSE_EQ|INE836F01026,A,DISH TV INDIA LTD.,BSE
BHARATFORG,BSE_EQ|INE465A01025,A,BHARAT FORGE LTD.,BSE
TRL,BSE_EQ|INE459Z01017,B,Taylormade Renewables Limited,BSE
CHEMBOND,BSE_EQ|INE995D01025,B,Chembond Material Technologies,BSE
BAJEL,BSE_EQ|INE0KQN01018,B,Bajel Projects Limited,BSE
RAJTV,NSE_EQ|INE952H01027,EQ,RAJ TV NETWORK LTD,NSE
EBGNG,BSE_EQ|INE18JU01028,B,GNG Electronics Limited,BSE
AHCL,BSE_EQ|INE0Y8W01017,T,ANLON HEALTHCARE LIMITED,BSE
ORIENTCEM,NSE_EQ|INE876N01018,EQ,ORIENT CEMENT LTD.,NSE
VINNY,BSE_EQ|INE01KI01027,B,VINNY OVERSEAS LIMITED,BSE
MADRASFERT,NSE_EQ|INE414A01015,EQ,MADRAS FERTILISERS LTD,NSE
HOMEFIRST,BSE_EQ|INE481N01025,A,Home First Finance Company Ind,BSE
RAMRAT,NSE_EQ|INE207E01023,EQ,RAM RATNA WIRES LIMITED,NSE
RPSGVENT,NSE_EQ|INE425Y01011,EQ,RPSG VENTURES LIMITED,NSE
BANG,BSE_EQ|INE863I01016,B,BANG OVERSEAS LTD.,BSE
GIPCL,NSE_EQ|INE162A01010,EQ,GUJ IND POW CO. LTD,NSE
ASALCBR,NSE_EQ|INE073G01016,EQ,ASSO ALCOHOLS & BREW LTD,NSE
ASHOKA,BSE_EQ|INE442H01029,A,ASHOKA BUILDCON LTD.,BSE
MCX,BSE_EQ|INE745G01035,A,MULTI COMMODITY EXCHANGE OF IN,BSE
PNB,NSE_EQ|INE160A01022,EQ,PUNJAB NATIONAL BANK,NSE
DIGITIDE,BSE_EQ|INE0U4701011,B,Digitide Solutions Limited,BSE
ORKLAINDIA,NSE_EQ|INE16NZ01023,EQ,ORKLA INDIA LIMITED,NSE
RADAAN,BSE_EQ|INE874F01027,B,RADAAN MEDIAWORKS (I) LTD.,BSE
IPL,BSE_EQ|INE0D6701023,B,India Pesticides Limited,BSE
SKFINDIA,NSE_EQ|INE640A01023,EQ,SKF INDIA LTD,NSE
SWARAJENG,BSE_EQ|INE277A01016,B,SWARAJ ENGINES LTD.,BSE
SAMHI,BSE_EQ|INE08U801020,A,Samhi Hotels Limited,BSE
HEUBACHIND,BSE_EQ|INE492A01029,B,Heubach Colorants India Limite,BSE
BCLIND,BSE_EQ|INE412G01024,B,BCL INDUSTRIES LIMITED,BSE
SEQUENT,NSE_EQ|INE807F01027,EQ,SEQUENT SCIENTIFIC LTD.,NSE
BCONCEPTS,BSE_EQ|INE977Y01011,T,Brand Concepts Limited,BSE
GNA,NSE_EQ|INE934S01014,EQ,GNA AXLES LIMITED,NSE
MAWANASUG,NSE_EQ|INE636A01039,EQ,MAWANA SUGARS LIMITED,NSE
HARIOMPIPE,BSE_EQ|INE00EV01017,B,Hariom Pipe Industries Limited,BSE
AMJLAND,BSE_EQ|INE606A01024,B,AMJ LAND HOLDINGS LIMITED,BSE
VIKRAMSOLR,NSE_EQ|INE078V01014,EQ,VIKRAM SOLAR LIMITED,NSE
SHAKTIPUMP,BSE_EQ|INE908D01010,A,SHAKTI PUMPS (INDIA) LTD.,BSE
TCIFINANCE,NSE_EQ|INE911B01018,EQ,TCI FINANCE LTD,NSE
CDSL,NSE_EQ|INE736A01011,EQ,CENTRAL DEPO SER (I) LTD,NSE
SURAJLTD,BSE_EQ|INE713C01016,B,SURAJ LTD.,BSE
SIL,NSE_EQ|INE173A01025,EQ,STANDARD INDUSTRIES LTD.,NSE
IFBIND,NSE_EQ|INE559A01017,EQ,IFB INDUSTRIES LTD,NSE
BLIL,BSE_EQ|INE525F01025,B,BALMER LAWRIE INVESTMENTS LTD.,BSE
GATEWAY,BSE_EQ|INE079J01017,B,Gateway Distriparks Limited,BSE
IFBAGRO,NSE_EQ|INE076C01018,EQ,IFB AGRO INDUSTRIES LTD,NSE
PIDILITIND,BSE_EQ|INE318A01026,A,PIDILITE INDUSTRIES LTD.,BSE
GCSL,NSE_EQ|INE199P01028,EQ,GRETEX CORPORATE SERVICES,NSE
NATIONALUM,BSE_EQ|INE139A01034,A,NATIONAL ALUMINIUM CO.LTD.,BSE
CIANAGRO,BSE_EQ|INE052V01019,T,CIAN Agro Ind & Infra Ltd,BSE
RAYMOND,NSE_EQ|INE301A01014,EQ,RAYMOND LTD,NSE
VASCONEQ,NSE_EQ|INE893I01013,EQ,VASCON ENGINEERS LTD,NSE
PPL,NSE_EQ|INE050001010,EQ,PRAKASH PIPES LIMITED,NSE
ADANIPOWER,NSE_EQ|INE814H01029,EQ,ADANI POWER LTD,NSE
HECPROJECT,NSE_EQ|INE558R01013,EQ,HEC INFRA PROJECTS LTD,NSE
MAGADSUGAR,BSE_EQ|INE347W01011,B,Magadh Sugar & Energy Limited,BSE
GODREJCP,NSE_EQ|INE102D01028,EQ,GODREJ CONSUMER PRODUCTS,NSE
CUBEXTUB,BSE_EQ|INE144D01012,B,CUBEX TUBINGS LTD.,BSE
LALPATHLAB,NSE_EQ|INE600L01024,EQ,DR. LAL PATH LABS LTD.,NSE
MOREPENLAB,NSE_EQ|INE083A01026,EQ,MOREPEN LAB. LTD,NSE
RATNABHUMI,BSE_EQ|INE821Y01011,B,Ratnabhumi Developers Limited,BSE
PARADEEP,NSE_EQ|INE088F01024,EQ,PARADEEP PHOSPHATES LTD,NSE
SHANTIGOLD,NSE_EQ|INE06ZD01017,EQ,SHANTI GOLD INTERNATION L,NSE
KIMS,BSE_EQ|INE967H01025,A,Krishna Institute of Medical S,BSE
SKIPPER,BSE_EQ|INE439E01022,A,SKIPPER LTD,BSE
LAXMICOT,NSE_EQ|INE801V01019,EQ,LAXMI COTSPIN LIMITED,NSE
PFC,NSE_EQ|INE134E01011,EQ,POWER FIN CORP LTD.,NSE
INGERRAND,BSE_EQ|INE177A01018,A,INGERSOLL-RAND (INDIA) LTD.,BSE
VISAKAIND,BSE_EQ|INE392A01021,B,VISAKA INDUSTRIES LTD.,BSE
SONATSOFTW,NSE_EQ|INE269A01021,EQ,SONATA SOFTWARE LTD,NSE
AAATECH,BSE_EQ|INE0D0U01013,T,AAA TECHNOLOGIES LIMITED,BSE
ARKADE,NSE_EQ|INE0QRL01017,EQ,ARKADE DEVELOPERS LIMITED,NSE
VCL,NSE_EQ|INE098201036,EQ,VAXTEX COTFAB LIMITED,NSE
INFY,NSE_EQ|INE009A01021,EQ,INFOSYS LIMITED,NSE
IRCON,NSE_EQ|INE962Y01021,EQ,IRCON INTERNATIONAL LTD,NSE
SHK,NSE_EQ|INE500L01026,EQ,S H KELKAR AND CO. LTD.,NSE
NAVINFLUOR,NSE_EQ|INE048G01026,EQ,NAVIN FLUORINE INT. LTD,NSE
SANOFICONR,NSE_EQ|INE0UOS01011,EQ,SANOFI CONS HEALTHC IND L,NSE
MANORG,BSE_EQ|INE370D01013,B,MANGALAM ORGANICS LIMITED,BSE
GREAVESCOT,NSE_EQ|INE224A01026,EQ,GREAVES COTTON LTD.,NSE
PRIMEFRESH,BSE_EQ|INE442V01012,T,PRIME FRESH LIMITED,BSE
SGFIN,BSE_EQ|INE618R01015,B,SG FINSERVE LIMITED,BSE
SINTERCOM,NSE_EQ|INE129Z01016,EQ,SINTERCOM INDIA LIMITED,NSE
AXISCADES,BSE_EQ|INE555B01013,T,AXISCADES TECHNOLOGIES LIMITED,BSE
VISHWARAJ,NSE_EQ|INE430N01022,EQ,VISHWARAJ SUGAR IND LTD,NSE
ALKEM,BSE_EQ|INE540L01014,A,Alkem Laboratories Limited,BSE
KAYNES,NSE_EQ|INE918Z01012,EQ,KAYNES TECHNOLOGY IND LTD,NSE
STYLEBAAZA,BSE_EQ|INE01FR01028,B,Baazar Style Retail Limited,BSE
STUDDS,BSE_EQ|INE00Q601028,B,Studds Accessories Limited,BSE
BIOCON,NSE_EQ|INE376G01013,EQ,BIOCON LIMITED.,NSE
MIDHANI,NSE_EQ|INE099Z01011,EQ,MISHRA DHATU NIGAM LTD,NSE
DEVX,NSE_EQ|INE0VOV01021,EQ,DEV ACCELERATOR LIMITED,NSE
RAMANEWS,NSE_EQ|INE278B01020,EQ,SHREE RAMA NEWSPRINT LTD,NSE
MCLOUD,NSE_EQ|INE613C01026,EQ,MAGELLANIC CLOUD LIMITED,NSE
DECNGOLD,BSE_EQ|INE945F01025,B,DECCAN GOLD MINES LTD.,BSE
SCI,BSE_EQ|INE109A01011,A,SHIPPING CORPORATION OF INDIA,BSE
EVEREADY,BSE_EQ|INE128A01029,B,EVEREADY INDUSTRIES INDIA LTD.,BSE
GTL,NSE_EQ|INE043A01012,EQ,GTL LTD,NSE
BLACKBUCK,BSE_EQ|INE0UIZ01018,B,BlackBuck Limited,BSE
SWSOLAR,NSE_EQ|INE00M201021,EQ,STRLNG & WIL REN ENE LTD,NSE
PATANJALI,NSE_EQ|INE619A01035,EQ,PATANJALI FOODS LIMITED,NSE
BBOX,NSE_EQ|INE676A01027,EQ,BLACK BOX LIMITED,NSE
BHARATFORG,NSE_EQ|INE465A01025,EQ,BHARAT FORGE LTD,NSE
INDTERRAIN,NSE_EQ|INE611L01021,EQ,IND TERRAIN FASHIONS LTD,NSE
ADSL,NSE_EQ|INE102I01027,EQ,ALLIED DIGITAL SERV. LTD,NSE
SURYALAXMI,NSE_EQ|INE713B01026,EQ,SURYALAKSHMI COT MIL LTD,NSE
GTLINFRA,NSE_EQ|INE221H01019,EQ,GTL INFRA.LTD,NSE
ALPA,BSE_EQ|INE385I01010,B,ALPA LABORATORIES LTD.,BSE
